store_item,sale_date,units_sold,unit_price
store_a|item_1,2026-01-01,8,12.5
store_a|item_2,2026-01-01,5,20.0
store_a|item_1,2026-01-02,9,12.5
store_a|item_2,2026-01-02,6,20.0
store_a|item_1,2026-01-03,7,12.0
store_a|item_2,2026-01-03,4,19.5
store_a|item_1,2026-01-04,11,12.0
store_a|item_2,2026-01-04,8,19.5
store_a|item_1,2026-01-05,10,12.5
store_a|item_2,2026-01-05,7,20.0
store_a|item_1,2026-01-06,12,12.5
store_a|item_2,2026-01-06,9,20.0
store_a|item_1,2026-01-07,13,13.0
store_a|item_2,2026-01-07,10,20.5
store_a|item_1,2026-01-08,9,13.0
store_a|item_2,2026-01-08,6,20.5
store_a|item_1,2026-01-09,14,13.0
store_a|item_2,2026-01-09,11,20.5
store_a|item_1,2026-01-10,15,13.5
store_a|item_2,2026-01-10,12,21.0
